sample_id,char_id,sample_index,split,difficulty_crossing,difficulty_adhesion,difficulty_endpoint,difficulty_line_width,difficulty_background,difficulty_style,priority,reviewer,keep,notes
6/18,6,18,test,,,,,,,high,,,自动候选：多通道重叠 8.0%，方向覆盖 5/5；需人工复核
33/18,33,18,test,,,,,,,high,,,自动候选：多通道重叠 6.2%，方向覆盖 5/5；需人工复核
38/19,38,19,test,,,,,,,high,,,自动候选：多通道重叠 7.4%，方向覆盖 5/5；需人工复核
19/18,19,18,test,,,,,,,high,,,自动候选：多通道重叠 4.9%，方向覆盖 5/5；需人工复核
26/19,26,19,test,,,,,,,high,,,自动候选：多通道重叠 9.9%，方向覆盖 4/5；需人工复核
17/19,17,19,test,,,,,,,high,,,自动候选：多通道重叠 4.7%，方向覆盖 5/5；需人工复核
11/18,11,18,test,,,,,,,high,,,自动候选：多通道重叠 4.3%，方向覆盖 5/5；需人工复核
35/20,35,20,test,,,,,,,high,,,自动候选：多通道重叠 2.5%，方向覆盖 5/5；需人工复核
5/18,5,18,test,,,,,,,high,,,自动候选：多通道重叠 5.9%，方向覆盖 4/5；需人工复核
31/20,31,20,test,,,,,,,high,,,自动候选：多通道重叠 2.2%，方向覆盖 4/5；需人工复核
23/19,23,19,test,,,,,,,high,,,自动候选：多通道重叠 6.5%，方向覆盖 4/5；需人工复核
34/20,34,20,test,,,,,,,high,,,自动候选：多通道重叠 0.5%，方向覆盖 5/5；需人工复核
18/19,18,19,test,,,,,,,high,,,自动候选：多通道重叠 11.2%，方向覆盖 3/5；需人工复核
32/20,32,20,test,,,,,,,high,,,自动候选：多通道重叠 3.6%，方向覆盖 4/5；需人工复核
4/18,4,18,test,,,,,,,high,,,自动候选：多通道重叠 3.4%，方向覆盖 4/5；需人工复核
28/20,28,20,test,,,,,,,high,,,自动候选：多通道重叠 0.9%，方向覆盖 4/5；需人工复核
25/20,25,20,test,,,,,,,high,,,自动候选：多通道重叠 1.0%，方向覆盖 4/5；需人工复核
29/20,29,20,test,,,,,,,high,,,自动候选：多通道重叠 1.9%，方向覆盖 4/5；需人工复核
9/18,9,18,test,,,,,,,high,,,自动候选：多通道重叠 4.5%，方向覆盖 4/5；需人工复核
36/19,36,19,test,,,,,,,high,,,自动候选：多通道重叠 4.5%，方向覆盖 4/5；需人工复核
1/19,1,19,test,,,,,,,high,,,自动候选：多通道重叠 4.0%，方向覆盖 4/5；需人工复核
20/20,20,20,test,,,,,,,high,,,自动候选：多通道重叠 0.1%，方向覆盖 4/5；需人工复核
0/18,0,18,test,,,,,,,high,,,自动候选：多通道重叠 3.1%，方向覆盖 4/5；需人工复核
8/18,8,18,test,,,,,,,high,,,自动候选：多通道重叠 6.8%，方向覆盖 3/5；需人工复核
27/20,27,20,test,,,,,,,high,,,自动候选：多通道重叠 0.3%，方向覆盖 4/5；需人工复核
15/18,15,18,test,,,,,,,high,,,自动候选：多通道重叠 2.0%，方向覆盖 4/5；需人工复核
16/18,16,18,test,,,,,,,high,,,自动候选：多通道重叠 1.7%，方向覆盖 4/5；需人工复核
39/19,39,19,test,,,,,,,high,,,自动候选：多通道重叠 5.7%，方向覆盖 3/5；需人工复核
37/20,37,20,test,,,,,,,high,,,自动候选：多通道重叠 3.5%，方向覆盖 3/5；需人工复核
10/20,10,20,test,,,,,,,high,,,自动候选：多通道重叠 1.2%，方向覆盖 4/5；需人工复核
21/20,21,20,test,,,,,,,high,,,自动候选：多通道重叠 3.6%，方向覆盖 3/5；需人工复核
30/20,30,20,test,,,,,,,high,,,自动候选：多通道重叠 2.5%，方向覆盖 3/5；需人工复核
7/18,7,18,test,,,,,,,high,,,自动候选：多通道重叠 3.7%，方向覆盖 3/5；需人工复核
13/18,13,18,test,,,,,,,high,,,自动候选：多通道重叠 1.9%，方向覆盖 3/5；需人工复核
22/20,22,20,test,,,,,,,high,,,自动候选：多通道重叠 0.0%，方向覆盖 3/5；需人工复核
24/18,24,18,test,,,,,,,high,,,自动候选：多通道重叠 2.6%，方向覆盖 3/5；需人工复核
14/19,14,19,test,,,,,,,high,,,自动候选：多通道重叠 2.6%，方向覆盖 3/5；需人工复核
12/18,12,18,test,,,,,,,high,,,自动候选：多通道重叠 1.5%，方向覆盖 3/5；需人工复核
2/20,2,20,test,,,,,,,high,,,自动候选：多通道重叠 0.0%，方向覆盖 2/5；需人工复核
3/18,3,18,test,,,,,,,high,,,自动候选：多通道重叠 1.1%，方向覆盖 2/5；需人工复核
6/19,6,19,test,,,,,,,high,,,自动候选：多通道重叠 7.9%，方向覆盖 5/5；需人工复核
33/19,33,19,test,,,,,,,high,,,自动候选：多通道重叠 5.6%，方向覆盖 5/5；需人工复核
38/20,38,20,test,,,,,,,high,,,自动候选：多通道重叠 2.9%，方向覆盖 5/5；需人工复核
19/20,19,20,test,,,,,,,high,,,自动候选：多通道重叠 1.9%，方向覆盖 5/5；需人工复核
26/20,26,20,test,,,,,,,high,,,自动候选：多通道重叠 6.2%，方向覆盖 4/5；需人工复核
17/20,17,20,test,,,,,,,high,,,自动候选：多通道重叠 2.1%，方向覆盖 5/5；需人工复核
11/19,11,19,test,,,,,,,high,,,自动候选：多通道重叠 4.2%，方向覆盖 5/5；需人工复核
35/19,35,19,test,,,,,,,high,,,自动候选：多通道重叠 3.2%，方向覆盖 5/5；需人工复核
5/20,5,20,test,,,,,,,high,,,自动候选：多通道重叠 1.9%，方向覆盖 4/5；需人工复核
31/19,31,19,test,,,,,,,high,,,自动候选：多通道重叠 4.0%，方向覆盖 4/5；需人工复核
